"exeid","testcaseid","scripttype","datestamp","exetime","message","output","status"
"EX0002","TC00011","playwright","2025-11-04","23:41:49.413699","Script executed successfully","Page title verified: Swag Labs
","SUCCESS"
"EX0003","TC00011","playwright","2025-11-05","00:33:43.079465","Script executed successfully","Page title verified: Swag Labs
","SUCCESS"
"EX0004","TC00011","playwright","2025-11-05","00:52:43.166151","Script executed successfully","Page title verified: Swag Labs
","SUCCESS"
"EX0005","TC00011","playwright","2025-11-05","00:54:08.404957","Script executed successfully","Page title verified: Swag Labs
","SUCCESS"
"EX0006","TC00011","playwright","2025-11-05","00:55:26.640235","Script executed successfully","Page title verified: Swag Labs
","SUCCESS"
"EX0007","TC00011","playwright","2025-11-05","00:58:20.213804","Script executed successfully","Page title verified: Swag Labs
","SUCCESS"
"EX0001","TC00011","playwright","2025-11-03","22:25:23","Execution Completed Successfully!","Page title verified: Swag Labs","success"
"EX0008","TC0013","playwright","2025-11-06","12:13:26.341297","Generated script execution","Initializing script execution
Executing script...
Running action: Navigate to the OrangeHRM login page at 2025-11-06 12:13:17.047247
Action runned: Navigate to the OrangeHRM login page at 2025-11-06 12:13:21.571104
Running action: Click on 'Forgot your Password?' at 2025-11-06 12:13:21.571132
Action runned: Click on 'Forgot your Password?' at 2025-11-06 12:13:23.218786
Running action: Enter username 'Admin' in the username field at 2025-11-06 12:13:23.218816
Action runned: Enter username 'Admin' in the username field at 2025-11-06 12:13:24.104744
Running action: Click the 'Reset Password' button at 2025-11-06 12:13:24.104779
Action runned: Click the 'Reset Password' button at 2025-11-06 12:13:24.152208
Running action: Verify success message is displayed at 2025-11-06 12:13:24.152240
Action runned: Verify success message is displayed at 2025-11-06 12:13:25.860800
TC0013: Test Passed - Password reset link was sent successfully.
Execution completed successfully","SUCCESS"
"EX0009","TC0013","playwright","2025-11-06","12:14:12.145431","Generated script execution","Initializing script execution
Executing script...
Running action: Navigate to the OrangeHRM login page at 2025-11-06 12:13:59.049691
Action runned: Navigate to the OrangeHRM login page at 2025-11-06 12:14:03.450579
Running action: Click on 'Forgot your Password?' at 2025-11-06 12:14:03.450609
Action runned: Click on 'Forgot your Password?' at 2025-11-06 12:14:08.725930
Running action: Enter username 'Admin' in the username field at 2025-11-06 12:14:08.725965
Action runned: Enter username 'Admin' in the username field at 2025-11-06 12:14:09.594699
Running action: Click the 'Reset Password' button at 2025-11-06 12:14:09.594731
Action runned: Click the 'Reset Password' button at 2025-11-06 12:14:09.885121
Running action: Verify success message is displayed at 2025-11-06 12:14:09.885166
Action runned: Verify success message is displayed at 2025-11-06 12:14:11.625125
TC0013: Test Passed - Password reset link was sent successfully.
Execution completed successfully","SUCCESS"
"EX0010","TC0013","playwright","2025-11-06","12:56:23.395073","Generated script execution","Initializing script execution
Script file created, starting execution...
Running action: Navigate to login at 2025-11-06T12:55:18.934788
Action runned: Navigate to login at 2025-11-06T12:55:20.244993
Running action: Enter credentials at 2025-11-06T12:55:21.245370
Action Enter credentials failed at 2025-11-06T12:55:51.257600 due to: Page.fill: Timeout 30000ms exceeded.
Call log:
- waiting for locator(""#username"")
Running action: Submit form at 2025-11-06T12:55:52.258223
Action Submit form failed at 2025-11-06T12:56:22.268845 due to: Page.click: Timeout 30000ms exceeded.
Call log:
- waiting for locator(""button[type=submit]"")
Test execution completed successfully
Execution completed successfully","SUCCESS"
