"testcaseid","steps","args","stepnum"
"TC0009","{""Given the user is on the OrangeHRM login page"",""When the user enters the username"",""And the user enters the password"",""And clicks the login button"",""Then the user should be redirected to the dashboard""}","{https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,Admin,admin123,"""",""""}",5
"TC00011","{""Given the user is on the OrangeHRM login page"",""When the user clicks on \""Forgot your Password?\"""",""And enters their username"",""And clicks the \""Reset Password\"" button"",""Then a password reset link should be sent successfully""}","{"""","""",Admin,"""",""""}",5
"TC0023","{""Given the user has an item in cart"",""When the user removes the item from the cart"",""Then the cart should be empty""}","{https://www.saucedemo.com,""SauceLabs Backpack"",""""}",3
"TC0022","{""Given the user is logged into SauceDemo"",""When the user adds an item to the cart"",""Then the item should be visible in the cart""}","{https://www.saucedemo.com,""Sauce Labs Backpack"",1}",3
"TC0024","{""Given the user is logged into SauceDemo"",""When the user logs out"",""Then the user should be redirected to login page""}","{https://www.saucedemo.com,"""",""""}",3
"TC0001","{""string - anc"",""step 2""}","{string,none}",2
"TC0010","{""Given the user is on the OrangeHRM login page"",""When the user enters an invalid username"",""And clicks the login button"",""Then an \""Invalid credentials\"" error message should be displayed""}","{https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,Admin111111,"""",""""}",4
"TC0013","{""Given the user is on the OrangeHRM login page"",""When the user clicks on 'Forgot your Password?'"",""And enters their username"",""And clicks the 'Reset Password' button"",""Then a password reset link should be sent successfully""}","{https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,"""",Admin,"""",""""}",5
"TC0020","{""Given the user is on SauceDemo login page"",""When the user logs in with username and password"",""Then the user should be redirected to the Products page""}","{https://www.saucedemo.com,standard_user,secret_sauce}",3
"TC0021","{""Given the user is on SauceDemo login page"",""When the user enters invalid username and password"",""Then an error message should be displayed""}","{https://www.saucedemo.com,invalid_user,wrong_pass}",3
"TC0097","{""Given a user exists in the system"",""When the user opens the browser"",""Then the browser should be opened"",""When the user opens a URL"",""Then the user is redirected to the login page"",""When the user enters their username and password"",""Then the username and password fields should be enabled"",""When the user clicks the login button"",""Then the dashboard page should be displayed""}","{"""",""user@example.com, password123"","""","""",https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,"""","""","""",""""}",9
"TC0012","{""Given the user is on the OrangeHRM login page"",""When the user enters an invalid username"",""And clicks the login button"",""Then an 'Invalid credentials' error message should be displayed""}","{https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,Admin111111,"""",""""}",4
"TC0098","{""Given a user exists in the system"",""When the user opens the browser"",""Then the browser should be opened"",""When the user opens the URL"",""Then the user navigates to the login page"",""When the user enters username and password"",""Then the user should be able to input username and password"",""When the user clicks on the login button"",""Then an error message \""Invalid credentials\"" is displayed""}","{"""",""Username: Admin2812"","""",Password:admin123,"""","""","""","""",""""}",9
"TC0042","{""Given a user exists in the system"",""When the user opens the browser"",""Then the browser should be opened"",""When the user opens a URL"",""Then the user is on the login page"",""When the user enters username and password"",""Then the user is able to input username and password"",""When the user clicks on the login button"",""Then the dashboard page should be displa---yed after login""}","{"""",""user@example.com, password123"","""","""",https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,"""","""","""",""""}",9
"TC0011","{""Given the user is on the OrangeHRM login page"",""When the user enters the username"",""And the user enters the password"",""And clicks the login button"",""Then the user should be redirected to the dashboard""}","{https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,Admin,admin123,"""",""""}",5
"TC004200","{""Given a user exists in the syste"",""When the user opens the browser"",""Then the browser should be opened"",""When the user opens a URL"",""Then the user is redirected to the login "",""When the user enters username and password"",""Then the username and password fields should be enabled"",""When the user clicks on the login button"",""Then the dashboard page should be displayed""}","{"""",""user@example.com, password123"","""","""",https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,"""","""","""",""""}",9
"TC00704","{""Given the user is on the login page"",""When the user enters their username and password"",""When the user clicks the login button""}","{"""",""user@example.com, password123"",""""}",3
